model,n_features,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_balanced_accuracy,cv_mcc,cv_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_mcc,test_brier
random_forest,38,0.968514266972778,0.9603126879134095,0.9815611555009219,0.9708206686930091,0.992028203738426,0.9915106276615513,0.9675738266956087,0.9369060067184398,0.024114188258445392,0.9711286089238845,0.963855421686747,0.9828009828009828,0.9732360097323601,0.9952174966259474,0.9954116113701945,0.9702737308371111,0.942113682296307,0.023385700787401577
gradient_boosting,38,0.9675303378156773,0.961352657004831,0.9784880147510756,0.9698446542796223,0.9918879457674943,0.9911858050173368,0.9667404912011355,0.9348529973507307,0.02549796686416366,0.9671916010498688,0.961352657004831,0.9778869778869779,0.9695493300852619,0.9952590234280375,0.9957728404879502,0.9664082776758833,0.9341526148862567,0.02633214973876535
