,target_binary
f_log_depth,-0.7386142283996585
f_log_prad,-0.7182626683503666
f_abs_log_rho_ratio,-0.6569235777252146
f_ror_from_radii,-0.6280798967946583
f_depth_expected_ppm,-0.5080796478599784
f_duration_unphysical,-0.4477761137812808
f_impact_discrepancy,-0.4390501293490474
f_log_model_snr,-0.3981232132317505
f_log_max_mult_ev,-0.39743005276905824
f_snr_per_transit,-0.3971586993533177
f_rho_ratio,-0.27260670005304016
f_depth_ratio,0.23697197637853243
f_duration_ratio,-0.23490343469318503
f_log_rho_ratio,-0.13552998470504773
f_log_srho,-0.0980403265102737
f_duty_cycle,-0.07489924060250357
f_impact_implied,0.06661112550192522
f_log_duration,0.05273045728315314
f_rho_cat_from_logg,0.03548350999901197
f_ror_discrepancy,-0.024834489680839292
f_prad_frac_err,0.02111164381480268
f_srad_frac_err,0.02111164381480265
f_duration_frac_err,-0.018757749090314347
f_luminosity_sun,0.018554235708482542
f_teq_calc,0.008210999357706378
f_teq_filled,0.008210999357706378
f_insol_calc,0.007549477573002803
f_insol_filled,0.007549477573002803
f_log_insol,0.004410147186653145
f_sma_au,0.002515079434475409
f_depth_frac_err,0.0020926797793033476
f_log_period,0.0015854566889070103
f_rho_star_catalogue,0.0012137672660151564
f_duration_max_hours,-0.000743729809269482
f_steff_frac_err,-0.0006096507766906379
