family,total_importance,feature_count
density,0.3420311787334994,5
log_transforms,0.2793239416558048,8
radius_consistency,0.10648319115184977,2
depth,0.1057014806717498,2
duration,0.10332564741088109,5
signal_quality,0.037538861388701175,2
orbital,0.01627797674025342,6
uncertainty,0.009317722247260535,5
