model,cv_roc_auc,cv_pr_auc,cv_brier,cv_mcc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_mcc,test_brier
random_forest,0.9920842986018578,0.9914584942569469,0.024199667558442384,0.9396239361411386,0.968503937007874,0.9614457831325302,0.9803439803439803,0.9708029197080292,0.995293629096446,0.9955215042327358,0.9676367789043845,0.9368309962084467,0.02350638320209974
gradient_boosting,0.9920922542849222,0.9917465799315701,0.025396300867309936,0.9363104652655153,0.9671916010498688,0.961352657004831,0.9778869778869779,0.9695493300852619,0.9951967332249022,0.9957115373257166,0.9664082776758833,0.9341526148862567,0.026342880733627273
